State,AND,TEXT_TYPE,COLON,KEY,BITWISE_NOT,SEMICOLON,LPAREN,DECIMAL,UNTIL,EQ,SEMI,TOTEXT,END,VALUE,MINUS,BITWISE_AND,LEN,GT,DOT,SORT,LIST_OF,NEQ,NONE,MULT,NOT,PAIR_MAP,MINUS_ASSIGN,IDENTIFIER,NUMBER_TYPE,QUOTE,RCURLY,DECIMAL_TYPE,RPAREN,IF,BITWISE_XOR,REPEAT,METHOD,DIV,MOD,OTHERWISE,MULT_ASSIGN,RBRACKET,CONVERTTO,NUMBER,OR,GEQ,EXPONENT,LSHIFT,SHOW,COMMA,TEXT,ASSIGN,START,FOR,GET,BITWISE_OR,CHOOSE_WHAT,PICK,OUTPUT,LT,PLUS_ASSIGN,LBRACKET,RSHIFT,ε,BINARY_TYPE,LEQ,PLUS,TRUE,LCURLY,FALSE,$,S',CONDITIONAL_EXPR,COLLECTION_STMT,DATA_TYPE,CONST,STMT,INPUT_STMT,LIST_VALUE,CHOOSE_WHAT_STMT,RELATIONAL_EXPR,SHIFT_OP,FUNC_DECL,PAIR_MAP_VAL,CONDITIONAL_STMT,PROGRAM_KLEENE,REPEAT_LOOP,PAIR,LOGICOR_EXPR,COMPOUND_STMT,BASE,RETURN_STMT,PROGRAM,BITXOR_EXPR,BLOCK_STMT,REPEAT_UNTIL,CONV_EXPR,FUNC_CALL,DECL_STMT,FUNC_CALL_OPT,FACTOR,EXPRESSION,BITNOT_EXPR,PAIR_MAP_KEY,ASSIGN_OP,LIST_DECL,TERM,BIT_BASE,RELATIONAL_OP,FOR_LOOP,OUTPUT_STMT,ARG_LIST_GROUP,PICK_CASE,COLLECTION_EXPR,PAIR_MAP_VAL_GROUP,COLLECTION_METHOD,IO_STATEMENT,ADD_OP,CHOOSE_WHAT_STMT_KLEENE,BIT_EXPR,BITOR_EXPR,ASSIGNMENT_STMT,COLLECTION_ASSIGN,LIST_DECL_GROUP,LOOP_STMT,EXP_OP,LOGICNOT_EXPR,BLOCK_STMT_KLEENE,CONDITIONAL_STMT_GROUP,FUNC_DECL_OPT,PAIR_MAP_DECL,PAIR_MAP_VALUE,MULTI_OP,LOGICAND_EXPR,BITAND_EXPR,PARAM_LIST_GROUP,BITSHIFT_EXPR,ARG_LIST,BINARY,SIMPLE_STMT,PARAM_LIST
42,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,r103,,,,,,,,,,,,,,r103,,,,,,,,,,,r103,,,,,,,,,r103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,r4,,,,,,,,,,,,,,,,,,,r4,,r4,,,r4,,r4,r4,,,r4,,r4,,r4,r4,,,,,,,,,,,,r4,,,,,r4,r4,,r4,,r4,,,,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,s96,,,,,,,,,,,,,,,,,,,,,s98,,,,,,s94,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,s102,s103,,,,,,,,,s105,,,s114,,,s115,,,,,s116,,s108,,,,,,,,,,,,,,s110,,,,,,,,,,,,,,,,,,,,,,,,s111,,s113,,,,,,101,,,104,,,,,,,,,,,,106,,,,,,107,,,,117,118,,,,,109,,,,,,,119,,120,,,,,,,,,,,,,,,,121,,,,,,,112,,
49,,,,,,,,r112,,,,,,,,,,,,,,,r112,,,,,,,r112,,,,,,,,,,,,,,r112,,,,,,,,,,,,,,,,,,,,,,,,r112,,r112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,r111,,,,,,,,,,,,,,,r111,,,,,,,r111,,,,,,,,,,,,,,r111,,,,,,,,,,,,,,,,,,,,,,,,r111,,r111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,r114,,,,,,,,,,,,,,,r114,,,,,,,r114,,,,,,,,,,,,,,r114,,,,,,,,,,,,,,,,,,,,,,,,r114,,r114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
